,cad_recursive_linear_residue,aud_recursive_linear_residue,gbp_recursive_linear_residue
1981-01-02,-0.00022136603870220506,-0.0009586405308463376,-0.0028638967650489243
1981-01-05,0.005141798110959914,0.0038632820568653813,0.014132454281316861
1981-01-06,0.0003740814703447374,0.0036806594492885935,0.0024931658268484624
1981-01-07,0.0002551683966920441,5.761971922020429e-05,-0.004580091622749697
1981-01-08,1.7554043667243112e-05,-0.002047201095743344,-0.0031020712373281594
1981-01-09,-0.00033888866194225673,-0.0010386404571879216,-0.003363116414712355
1981-01-12,-0.0008146400244521364,-0.004339478520479627,0.0010217635524003008
1981-01-13,-0.0008153331482726974,-0.0005357766445658208,-0.0037216409050894374
1981-01-14,-0.00045869313761664663,0.0013287524695039642,0.006248054894527203
1981-01-15,0.0009698217028200377,0.0006502624999746142,-0.0009678546278994055
1981-01-16,-0.0017686923377969418,-0.0022302260442026035,-0.0028242333830674248
1981-01-19,0.0015658185106337023,0.0019221850530428252,0.004959321407285281
1981-01-20,-0.0002204845197039359,0.0006501621668277401,0.005504873261867012
1981-01-21,0.0008504412356071837,0.004111336950068668,0.003388678112457898
1981-01-22,-0.001410677572596188,-0.0032347727698685425,-0.009987586676157265
1981-01-23,0.00037480322877073515,-0.0019738690444410668,0.0020648797057607276
1981-01-26,0.0004936878462584208,0.006644925018742072,0.003744434507584353
1981-01-27,-0.0012923598084179885,-0.009244772943093215,-0.005868681295782005
1981-01-28,-0.002249073828033906,-0.0012176195609323748,0.0028825656190472355
1981-01-29,-0.003092496310028,-0.001219247872862277,-0.004806368582195654
1981-01-30,0.0031276043973624858,0.003798484479598919,-0.012916313819840099
1981-02-02,0.00025638853250254203,-0.007951283957131782,-0.00649039348687873
1981-02-03,-0.0024930575924792774,-0.004056906915212976,0.0009414281053838213
1981-02-04,0.0013334224074709226,0.0021169992011222504,0.0023839036172536104
1981-02-05,-0.0012983143201364363,-0.0007999397193220337,-0.00661099166568894
1981-02-06,0.0008551251366044103,5.761971922020429e-05,7.60175858401423e-05
1981-02-09,-0.0009397273504842781,5.761971922020429e-05,0.00028895756533338243
1981-02-10,-0.001420088470627325,-0.00019979158255721725,-0.0014355624440763055
1981-02-11,0.0018142844785118998,-2.8198774717895857e-05,0.0003322882628743043
1981-02-12,1.7554043667243112e-05,5.761971922020429e-05,6.095455315640417e-05
1981-02-13,-0.003579140877868422,-0.008215436773979195,-0.022866665692442813
1981-02-16,1.7554043667243112e-05,5.761971922020429e-05,0.0008378838688746707
1981-02-17,-0.004195005595034853,-2.8919158424555245e-05,-0.009387680902715726
1981-02-18,0.002306573776942409,0.003513346700371135,0.001710291295522295
1981-02-19,0.0033813246349156147,-0.00011488330001037557,0.007935800180898742
1981-02-20,0.0031309561514492913,0.006677598329420482,0.01112181631199434
1981-02-23,-0.0009393838284005825,-0.00037092110585106204,-0.029299304239629828
1981-02-24,-0.0014195719521807556,-0.003377334280753085,-0.0038729859123525657
1981-02-25,0.0006166075570592548,-0.001233536044399729,-0.0020085896673691823
1981-02-26,-0.0015407321571850282,-0.0020980181062403448,-0.0005301063968476821
1981-02-27,-0.001423022435955847,-0.002968101197316846,-0.010066216469015003
1981-03-02,-0.0019064484738549289,-0.0029772839759338466,-0.010310655661947882
1981-03-03,0.00025825689715816926,-0.00020294396836161195,0.011601214505684196
1981-03-04,0.00037849972526158107,0.00439150879443796,-0.003486522435156682
1981-03-05,0.001580148267499835,-0.0008076567905938182,0.0029008869011204847
1981-03-06,0.0012178902818946495,-0.0001155254634476622,-0.0052548041398387734
1981-03-09,0.0015758402445195145,0.0017012897981695373,0.010453673146341703
1981-03-10,0.0004965386055731417,0.00445626409623341,0.005577381235496201
1981-03-11,-0.0011803378101644909,-0.0007172070596757774,-0.005303217455675623
